id;code;description
22842;5-850.42;Inzision an Muskel
22843;5-850.43;Inzision an Muskel
22844;5-850.45;Inzision an Muskel
22845;5-850.47;Inzision an Muskel
22846;5-850.48;Inzision an Muskel
22847;5-850.49;Inzision an Muskel
22848;5-850.4a;Inzision an Muskel
22849;5-850.4x;Inzision an Muskel
22850;5-850.5;Inzision an Muskel
22851;5-850.50;Inzision an Muskel
22852;5-850.51;Inzision an Muskel
22853;5-850.52;Inzision an Muskel
22854;5-850.53;Inzision an Muskel
22855;5-850.55;Inzision an Muskel
22856;5-850.57;Inzision an Muskel
22857;5-850.58;Inzision an Muskel
22858;5-850.59;Inzision an Muskel
22859;5-850.5a;Inzision an Muskel
22860;5-850.5x;Inzision an Muskel
22861;5-850.6;Inzision an Muskel
22862;5-850.60;Inzision an Muskel
22863;5-850.61;Inzision an Muskel
22864;5-850.62;Inzision an Muskel
22865;5-850.63;Inzision an Muskel
22866;5-850.65;Inzision an Muskel
22867;5-850.66;Inzision an Muskel
22868;5-850.67;Inzision an Muskel
22869;5-850.68;Inzision an Muskel
22870;5-850.69;Inzision an Muskel
22871;5-850.6a;Inzision an Muskel
22872;5-850.6x;Inzision an Muskel
22873;5-850.7;Inzision an Muskel
22874;5-850.70;Inzision an Muskel
22875;5-850.71;Inzision an Muskel
22876;5-850.72;Inzision an Muskel
22877;5-850.73;Inzision an Muskel
22878;5-850.75;Inzision an Muskel
22879;5-850.76;Inzision an Muskel
22880;5-850.77;Inzision an Muskel
22881;5-850.78;Inzision an Muskel
22882;5-850.79;Inzision an Muskel
22883;5-850.7a;Inzision an Muskel
22884;5-850.7x;Inzision an Muskel
22885;5-850.8;Inzision an Muskel
22886;5-850.80;Inzision an Muskel
22887;5-850.81;Inzision an Muskel
22888;5-850.82;Inzision an Muskel
22889;5-850.83;Inzision an Muskel
22890;5-850.85;Inzision an Muskel
22891;5-850.86;Inzision an Muskel
22892;5-850.87;Inzision an Muskel
22893;5-850.88;Inzision an Muskel
22894;5-850.89;Inzision an Muskel
22895;5-850.8a;Inzision an Muskel
22896;5-850.8x;Inzision an Muskel
22897;5-850.9;Inzision an Muskel
22898;5-850.90;Inzision an Muskel
22899;5-850.91;Inzision an Muskel
22900;5-850.92;Inzision an Muskel
22901;5-850.93;Inzision an Muskel
22902;5-850.95;Inzision an Muskel
22903;5-850.96;Inzision an Muskel
22904;5-850.97;Inzision an Muskel
22905;5-850.98;Inzision an Muskel
22906;5-850.99;Inzision an Muskel
22907;5-850.9a;Inzision an Muskel
22908;5-850.9x;Inzision an Muskel
22909;5-850.a;Inzision an Muskel
22910;5-850.a0;Inzision an Muskel
22911;5-850.a1;Inzision an Muskel
22912;5-850.a2;Inzision an Muskel
22913;5-850.a3;Inzision an Muskel
22914;5-850.a5;Inzision an Muskel
22915;5-850.a6;Inzision an Muskel
22916;5-850.a7;Inzision an Muskel
22917;5-850.a8;Inzision an Muskel
22918;5-850.a9;Inzision an Muskel
22919;5-850.aa;Inzision an Muskel
22920;5-850.ax;Inzision an Muskel
22921;5-850.b;Inzision an Muskel
22922;5-850.b0;Inzision an Muskel
22923;5-850.b1;Inzision an Muskel
22924;5-850.b2;Inzision an Muskel
22925;5-850.b3;Inzision an Muskel
22926;5-850.b5;Inzision an Muskel
22927;5-850.b6;Inzision an Muskel
22928;5-850.b7;Inzision an Muskel
22929;5-850.b8;Inzision an Muskel
22930;5-850.b9;Inzision an Muskel
22931;5-850.ba;Inzision an Muskel
22932;5-850.bx;Inzision an Muskel
22933;5-850.c;Inzision an Muskel
22934;5-850.c0;Inzision an Muskel
22935;5-850.c1;Inzision an Muskel
22936;5-850.c2;Inzision an Muskel
22937;5-850.c3;Inzision an Muskel
22938;5-850.c5;Inzision an Muskel
22939;5-850.c6;Inzision an Muskel
22940;5-850.c7;Inzision an Muskel
22941;5-850.c8;Inzision an Muskel
22942;5-850.c9;Inzision an Muskel
22943;5-850.ca;Inzision an Muskel
22944;5-850.cx;Inzision an Muskel
22945;5-850.d;Inzision an Muskel
22946;5-850.d0;Inzision an Muskel
22947;5-850.d1;Inzision an Muskel
22948;5-850.d2;Inzision an Muskel
22949;5-850.d3;Inzision an Muskel
22950;5-850.d5;Inzision an Muskel
22951;5-850.d6;Inzision an Muskel
22952;5-850.d7;Inzision an Muskel
22953;5-850.d8;Inzision an Muskel
22954;5-850.d9;Inzision an Muskel
22955;5-850.da;Inzision an Muskel
22956;5-850.dx;Inzision an Muskel
22957;5-850.e;Inzision an Muskel
22958;5-850.e0;Inzision an Muskel
22959;5-850.e1;Inzision an Muskel
22960;5-850.e2;Inzision an Muskel
22961;5-850.e3;Inzision an Muskel
22962;5-850.e5;Inzision an Muskel
22963;5-850.e6;Inzision an Muskel
22964;5-850.e7;Inzision an Muskel
22965;5-850.e8;Inzision an Muskel
22966;5-850.e9;Inzision an Muskel
22967;5-850.ea;Inzision an Muskel
22968;5-850.ex;Inzision an Muskel
22969;5-850.f;Inzision an Muskel
22970;5-850.f0;Inzision an Muskel
22971;5-850.f1;Inzision an Muskel
22972;5-850.f2;Inzision an Muskel
22973;5-850.f3;Inzision an Muskel
22974;5-850.f5;Inzision an Muskel
22975;5-850.f6;Inzision an Muskel
22976;5-850.f7;Inzision an Muskel
22977;5-850.f8;Inzision an Muskel
22978;5-850.f9;Inzision an Muskel
22979;5-850.fa;Inzision an Muskel
22980;5-850.fx;Inzision an Muskel
22981;5-850.g;Inzision an Muskel
22982;5-850.g0;Inzision an Muskel
22983;5-850.g1;Inzision an Muskel
22984;5-850.g2;Inzision an Muskel
22985;5-850.g3;Inzision an Muskel
22986;5-850.g5;Inzision an Muskel
22987;5-850.g6;Inzision an Muskel
22988;5-850.g7;Inzision an Muskel
22989;5-850.g8;Inzision an Muskel
22990;5-850.g9;Inzision an Muskel
22991;5-850.ga;Inzision an Muskel
22992;5-850.gx;Inzision an Muskel
22993;5-850.h;Inzision an Muskel
22994;5-850.h0;Inzision an Muskel
22995;5-850.h1;Inzision an Muskel
22996;5-850.h2;Inzision an Muskel
22997;5-850.h3;Inzision an Muskel
22998;5-850.h5;Inzision an Muskel
22999;5-850.h6;Inzision an Muskel
23000;5-850.h7;Inzision an Muskel
23001;5-850.h8;Inzision an Muskel
23002;5-850.h9;Inzision an Muskel
23003;5-850.ha;Inzision an Muskel
23004;5-850.hx;Inzision an Muskel
23005;5-850.j;Inzision an Muskel
23006;5-850.j0;Inzision an Muskel
23007;5-850.j1;Inzision an Muskel
23008;5-850.j2;Inzision an Muskel
23009;5-850.j3;Inzision an Muskel
23010;5-850.j5;Inzision an Muskel
23011;5-850.j6;Inzision an Muskel
23012;5-850.j7;Inzision an Muskel
23013;5-850.j8;Inzision an Muskel
23014;5-850.j9;Inzision an Muskel
23015;5-850.ja;Inzision an Muskel
23016;5-850.jx;Inzision an Muskel
23017;5-850.x;Inzision an Muskel
23018;5-850.x0;Inzision an Muskel
23019;5-850.x1;Inzision an Muskel
23020;5-850.x2;Inzision an Muskel
23021;5-850.x3;Inzision an Muskel
23022;5-850.x5;Inzision an Muskel
23023;5-850.x6;Inzision an Muskel
23024;5-850.x7;Inzision an Muskel
23025;5-850.x8;Inzision an Muskel
23026;5-850.x9;Inzision an Muskel
23027;5-850.xa;Inzision an Muskel
23028;5-850.xx;Inzision an Muskel
23029;5-850.y;Inzision an Muskel
23030;5-851;Durchtrennung von Muskel
23031;5-851.0;Durchtrennung von Muskel
23032;5-851.00;Durchtrennung von Muskel
23033;5-851.01;Durchtrennung von Muskel
23034;5-851.02;Durchtrennung von Muskel
23035;5-851.03;Durchtrennung von Muskel
23036;5-851.05;Durchtrennung von Muskel
23037;5-851.06;Durchtrennung von Muskel
23038;5-851.07;Durchtrennung von Muskel
23039;5-851.08;Durchtrennung von Muskel
23040;5-851.09;Durchtrennung von Muskel
23041;5-851.0a;Durchtrennung von Muskel
23042;5-851.0x;Durchtrennung von Muskel
23043;5-851.1;Durchtrennung von Muskel
23044;5-851.10;Durchtrennung von Muskel
23045;5-851.11;Durchtrennung von Muskel
23046;5-851.12;Durchtrennung von Muskel
23047;5-851.13;Durchtrennung von Muskel
23048;5-851.15;Durchtrennung von Muskel
23049;5-851.16;Durchtrennung von Muskel
23050;5-851.17;Durchtrennung von Muskel
23051;5-851.18;Durchtrennung von Muskel
23052;5-851.19;Durchtrennung von Muskel
23053;5-851.1a;Durchtrennung von Muskel
23054;5-851.1x;Durchtrennung von Muskel
23055;5-851.2;Durchtrennung von Muskel
23056;5-851.20;Durchtrennung von Muskel
23057;5-851.21;Durchtrennung von Muskel
23058;5-851.22;Durchtrennung von Muskel
23059;5-851.23;Durchtrennung von Muskel
23060;5-851.25;Durchtrennung von Muskel
23061;5-851.26;Durchtrennung von Muskel
23062;5-851.27;Durchtrennung von Muskel
23063;5-851.28;Durchtrennung von Muskel
23064;5-851.29;Durchtrennung von Muskel
23065;5-851.2a;Durchtrennung von Muskel
23066;5-851.2x;Durchtrennung von Muskel
23067;5-851.3;Durchtrennung von Muskel
23068;5-851.30;Durchtrennung von Muskel
23069;5-851.31;Durchtrennung von Muskel
23070;5-851.32;Durchtrennung von Muskel
23071;5-851.33;Durchtrennung von Muskel
23072;5-851.35;Durchtrennung von Muskel
23073;5-851.37;Durchtrennung von Muskel
23074;5-851.38;Durchtrennung von Muskel
23075;5-851.39;Durchtrennung von Muskel
23076;5-851.3a;Durchtrennung von Muskel
23077;5-851.3x;Durchtrennung von Muskel
23078;5-851.4;Durchtrennung von Muskel
23079;5-851.40;Durchtrennung von Muskel
23080;5-851.41;Durchtrennung von Muskel
23081;5-851.42;Durchtrennung von Muskel
23082;5-851.43;Durchtrennung von Muskel
23083;5-851.45;Durchtrennung von Muskel
23084;5-851.47;Durchtrennung von Muskel
23085;5-851.48;Durchtrennung von Muskel
23086;5-851.49;Durchtrennung von Muskel
23087;5-851.4a;Durchtrennung von Muskel
23088;5-851.4x;Durchtrennung von Muskel
23089;5-851.5;Durchtrennung von Muskel
23090;5-851.50;Durchtrennung von Muskel
23091;5-851.51;Durchtrennung von Muskel
23092;5-851.52;Durchtrennung von Muskel
23093;5-851.53;Durchtrennung von Muskel
23094;5-851.55;Durchtrennung von Muskel
23095;5-851.56;Durchtrennung von Muskel
23096;5-851.57;Durchtrennung von Muskel
23097;5-851.58;Durchtrennung von Muskel
23098;5-851.59;Durchtrennung von Muskel
23099;5-851.5a;Durchtrennung von Muskel
23100;5-851.5x;Durchtrennung von Muskel
23101;5-851.6;Durchtrennung von Muskel
23102;5-851.60;Durchtrennung von Muskel
23103;5-851.61;Durchtrennung von Muskel
23104;5-851.62;Durchtrennung von Muskel
23105;5-851.63;Durchtrennung von Muskel
23106;5-851.65;Durchtrennung von Muskel
23107;5-851.66;Durchtrennung von Muskel
23108;5-851.67;Durchtrennung von Muskel
23109;5-851.68;Durchtrennung von Muskel
23110;5-851.69;Durchtrennung von Muskel
23111;5-851.6a;Durchtrennung von Muskel
23112;5-851.6x;Durchtrennung von Muskel
23113;5-851.7;Durchtrennung von Muskel
23114;5-851.70;Durchtrennung von Muskel
23115;5-851.71;Durchtrennung von Muskel
23116;5-851.72;Durchtrennung von Muskel
23117;5-851.73;Durchtrennung von Muskel
23118;5-851.75;Durchtrennung von Muskel
23119;5-851.76;Durchtrennung von Muskel
23120;5-851.77;Durchtrennung von Muskel
23121;5-851.78;Durchtrennung von Muskel
23122;5-851.79;Durchtrennung von Muskel
23123;5-851.7a;Durchtrennung von Muskel
23124;5-851.7x;Durchtrennung von Muskel
23125;5-851.8;Durchtrennung von Muskel
23126;5-851.80;Durchtrennung von Muskel
23127;5-851.81;Durchtrennung von Muskel
23128;5-851.82;Durchtrennung von Muskel
23129;5-851.83;Durchtrennung von Muskel
23130;5-851.85;Durchtrennung von Muskel
23131;5-851.86;Durchtrennung von Muskel
23132;5-851.87;Durchtrennung von Muskel
23133;5-851.88;Durchtrennung von Muskel
23134;5-851.89;Durchtrennung von Muskel
23135;5-851.8a;Durchtrennung von Muskel
23136;5-851.8x;Durchtrennung von Muskel
23137;5-851.9;Durchtrennung von Muskel
23138;5-851.90;Durchtrennung von Muskel
23139;5-851.91;Durchtrennung von Muskel
23140;5-851.92;Durchtrennung von Muskel
23141;5-851.93;Durchtrennung von Muskel
23142;5-851.95;Durchtrennung von Muskel
23143;5-851.96;Durchtrennung von Muskel
23144;5-851.97;Durchtrennung von Muskel
23145;5-851.98;Durchtrennung von Muskel
23146;5-851.99;Durchtrennung von Muskel
23147;5-851.9a;Durchtrennung von Muskel
23148;5-851.9x;Durchtrennung von Muskel
23149;5-851.a;Durchtrennung von Muskel
23150;5-851.a0;Durchtrennung von Muskel
23151;5-851.a1;Durchtrennung von Muskel
23152;5-851.a2;Durchtrennung von Muskel
23153;5-851.a3;Durchtrennung von Muskel
23154;5-851.a5;Durchtrennung von Muskel
23155;5-851.a6;Durchtrennung von Muskel
23156;5-851.a7;Durchtrennung von Muskel
23157;5-851.a8;Durchtrennung von Muskel
23158;5-851.a9;Durchtrennung von Muskel
23159;5-851.aa;Durchtrennung von Muskel
23160;5-851.ax;Durchtrennung von Muskel
23161;5-851.b;Durchtrennung von Muskel
23162;5-851.b0;Durchtrennung von Muskel
23163;5-851.b1;Durchtrennung von Muskel
23164;5-851.b2;Durchtrennung von Muskel
23165;5-851.b3;Durchtrennung von Muskel
23166;5-851.b5;Durchtrennung von Muskel
23167;5-851.b6;Durchtrennung von Muskel
23168;5-851.b7;Durchtrennung von Muskel
23169;5-851.b8;Durchtrennung von Muskel
23170;5-851.b9;Durchtrennung von Muskel
23171;5-851.ba;Durchtrennung von Muskel
23172;5-851.bx;Durchtrennung von Muskel
23173;5-851.c;Durchtrennung von Muskel
23174;5-851.c0;Durchtrennung von Muskel
23175;5-851.c1;Durchtrennung von Muskel
23176;5-851.c2;Durchtrennung von Muskel
23177;5-851.c3;Durchtrennung von Muskel
23178;5-851.c5;Durchtrennung von Muskel
23179;5-851.c6;Durchtrennung von Muskel
23180;5-851.c7;Durchtrennung von Muskel
23181;5-851.c8;Durchtrennung von Muskel
23182;5-851.c9;Durchtrennung von Muskel
23183;5-851.ca;Durchtrennung von Muskel
23184;5-851.cx;Durchtrennung von Muskel
23185;5-851.d;Durchtrennung von Muskel
23186;5-851.d0;Durchtrennung von Muskel
23187;5-851.d1;Durchtrennung von Muskel
23188;5-851.d2;Durchtrennung von Muskel
23189;5-851.d3;Durchtrennung von Muskel
23190;5-851.d5;Durchtrennung von Muskel
23191;5-851.d6;Durchtrennung von Muskel
23192;5-851.d7;Durchtrennung von Muskel
23193;5-851.d8;Durchtrennung von Muskel
23194;5-851.d9;Durchtrennung von Muskel
23195;5-851.da;Durchtrennung von Muskel
23196;5-851.dx;Durchtrennung von Muskel
23197;5-851.x;Durchtrennung von Muskel
23198;5-851.x0;Durchtrennung von Muskel
23199;5-851.x1;Durchtrennung von Muskel
23200;5-851.x2;Durchtrennung von Muskel
23201;5-851.x3;Durchtrennung von Muskel
23202;5-851.x5;Durchtrennung von Muskel
23203;5-851.x6;Durchtrennung von Muskel
23204;5-851.x7;Durchtrennung von Muskel
23205;5-851.x8;Durchtrennung von Muskel
23206;5-851.x9;Durchtrennung von Muskel
23207;5-851.xa;Durchtrennung von Muskel
23208;5-851.xx;Durchtrennung von Muskel
23209;5-851.y;Durchtrennung von Muskel
23210;5-852;Exzision an Muskel
23211;5-852.0;Exzision an Muskel
23212;5-852.00;Exzision an Muskel
23213;5-852.01;Exzision an Muskel
23214;5-852.02;Exzision an Muskel
23215;5-852.03;Exzision an Muskel
23216;5-852.05;Exzision an Muskel
23217;5-852.06;Exzision an Muskel
23218;5-852.07;Exzision an Muskel
23219;5-852.08;Exzision an Muskel
23220;5-852.09;Exzision an Muskel
23221;5-852.0a;Exzision an Muskel
23222;5-852.0x;Exzision an Muskel
23223;5-852.1;Exzision an Muskel
23224;5-852.10;Exzision an Muskel
23225;5-852.11;Exzision an Muskel
23226;5-852.12;Exzision an Muskel
23227;5-852.13;Exzision an Muskel
23228;5-852.15;Exzision an Muskel
23229;5-852.16;Exzision an Muskel
23230;5-852.17;Exzision an Muskel
23231;5-852.18;Exzision an Muskel
23232;5-852.19;Exzision an Muskel
23233;5-852.1a;Exzision an Muskel
23234;5-852.1x;Exzision an Muskel
23235;5-852.2;Exzision an Muskel
23236;5-852.20;Exzision an Muskel
23237;5-852.21;Exzision an Muskel
23238;5-852.22;Exzision an Muskel
23239;5-852.23;Exzision an Muskel
23240;5-852.25;Exzision an Muskel
23241;5-852.27;Exzision an Muskel
23242;5-852.28;Exzision an Muskel
23243;5-852.29;Exzision an Muskel
23244;5-852.2a;Exzision an Muskel
23245;5-852.2x;Exzision an Muskel
23246;5-852.3;Exzision an Muskel
23247;5-852.30;Exzision an Muskel
23248;5-852.31;Exzision an Muskel
23249;5-852.32;Exzision an Muskel
23250;5-852.33;Exzision an Muskel
23251;5-852.35;Exzision an Muskel
23252;5-852.37;Exzision an Muskel
23253;5-852.38;Exzision an Muskel
23254;5-852.39;Exzision an Muskel
23255;5-852.3a;Exzision an Muskel
23256;5-852.3x;Exzision an Muskel
23257;5-852.4;Exzision an Muskel
23258;5-852.40;Exzision an Muskel
23259;5-852.41;Exzision an Muskel
23260;5-852.42;Exzision an Muskel
23261;5-852.43;Exzision an Muskel
23262;5-852.45;Exzision an Muskel
23263;5-852.46;Exzision an Muskel
23264;5-852.47;Exzision an Muskel
23265;5-852.48;Exzision an Muskel
23266;5-852.49;Exzision an Muskel
23267;5-852.4a;Exzision an Muskel
23268;5-852.4x;Exzision an Muskel
23269;5-852.5;Exzision an Muskel
23270;5-852.50;Exzision an Muskel
23271;5-852.51;Exzision an Muskel
23272;5-852.52;Exzision an Muskel
23273;5-852.53;Exzision an Muskel
23274;5-852.55;Exzision an Muskel
23275;5-852.56;Exzision an Muskel
23276;5-852.57;Exzision an Muskel
23277;5-852.58;Exzision an Muskel
23278;5-852.59;Exzision an Muskel
23279;5-852.5a;Exzision an Muskel
23280;5-852.5x;Exzision an Muskel
23281;5-852.6;Exzision an Muskel
23282;5-852.60;Exzision an Muskel
23283;5-852.61;Exzision an Muskel
23284;5-852.62;Exzision an Muskel
23285;5-852.63;Exzision an Muskel
23286;5-852.65;Exzision an Muskel
23287;5-852.66;Exzision an Muskel
23288;5-852.67;Exzision an Muskel
23289;5-852.68;Exzision an Muskel
23290;5-852.69;Exzision an Muskel
23291;5-852.6a;Exzision an Muskel
23292;5-852.6x;Exzision an Muskel
23293;5-852.7;Exzision an Muskel
23294;5-852.70;Exzision an Muskel
23295;5-852.71;Exzision an Muskel
23296;5-852.72;Exzision an Muskel
23297;5-852.73;Exzision an Muskel
23298;5-852.75;Exzision an Muskel
23299;5-852.76;Exzision an Muskel
23300;5-852.77;Exzision an Muskel
23301;5-852.78;Exzision an Muskel
23302;5-852.79;Exzision an Muskel
23303;5-852.7a;Exzision an Muskel
23304;5-852.7x;Exzision an Muskel
23305;5-852.8;Exzision an Muskel
23306;5-852.80;Exzision an Muskel
23307;5-852.81;Exzision an Muskel
23308;5-852.82;Exzision an Muskel
23309;5-852.83;Exzision an Muskel
23310;5-852.85;Exzision an Muskel
23311;5-852.86;Exzision an Muskel
23312;5-852.87;Exzision an Muskel
23313;5-852.88;Exzision an Muskel
23314;5-852.89;Exzision an Muskel
23315;5-852.8a;Exzision an Muskel
23316;5-852.8x;Exzision an Muskel
23317;5-852.9;Exzision an Muskel
23318;5-852.90;Exzision an Muskel
23319;5-852.91;Exzision an Muskel
23320;5-852.92;Exzision an Muskel
23321;5-852.93;Exzision an Muskel
23322;5-852.95;Exzision an Muskel
23323;5-852.96;Exzision an Muskel
23324;5-852.97;Exzision an Muskel
23325;5-852.98;Exzision an Muskel
23326;5-852.99;Exzision an Muskel
23327;5-852.9a;Exzision an Muskel
23328;5-852.9x;Exzision an Muskel
23329;5-852.a;Exzision an Muskel
23330;5-852.a0;Exzision an Muskel
23331;5-852.a1;Exzision an Muskel
23332;5-852.a2;Exzision an Muskel
23333;5-852.a3;Exzision an Muskel
23334;5-852.a5;Exzision an Muskel
23335;5-852.a6;Exzision an Muskel
23336;5-852.a7;Exzision an Muskel
23337;5-852.a8;Exzision an Muskel
23338;5-852.a9;Exzision an Muskel
23339;5-852.aa;Exzision an Muskel
23340;5-852.ax;Exzision an Muskel
23341;5-852.b;Exzision an Muskel
23342;5-852.b0;Exzision an Muskel
23343;5-852.b1;Exzision an Muskel
23344;5-852.b2;Exzision an Muskel
23345;5-852.b3;Exzision an Muskel
23346;5-852.b5;Exzision an Muskel
23347;5-852.b6;Exzision an Muskel
23348;5-852.b7;Exzision an Muskel
23349;5-852.b8;Exzision an Muskel
23350;5-852.b9;Exzision an Muskel
23351;5-852.ba;Exzision an Muskel
23352;5-852.bx;Exzision an Muskel
23353;5-852.c;Exzision an Muskel
23354;5-852.c0;Exzision an Muskel
23355;5-852.c1;Exzision an Muskel
23356;5-852.c2;Exzision an Muskel
23357;5-852.c3;Exzision an Muskel
23358;5-852.c5;Exzision an Muskel
23359;5-852.c6;Exzision an Muskel
23360;5-852.c7;Exzision an Muskel
23361;5-852.c8;Exzision an Muskel
23362;5-852.c9;Exzision an Muskel
23363;5-852.ca;Exzision an Muskel
23364;5-852.cx;Exzision an Muskel
23365;5-852.d;Exzision an Muskel
23366;5-852.d0;Exzision an Muskel
23367;5-852.d1;Exzision an Muskel
23368;5-852.d2;Exzision an Muskel
23369;5-852.d3;Exzision an Muskel
23370;5-852.d5;Exzision an Muskel
23371;5-852.d6;Exzision an Muskel
23372;5-852.d7;Exzision an Muskel
23373;5-852.d8;Exzision an Muskel
23374;5-852.d9;Exzision an Muskel
23375;5-852.da;Exzision an Muskel
23376;5-852.dx;Exzision an Muskel
23377;5-852.e;Exzision an Muskel
23378;5-852.e0;Exzision an Muskel
23379;5-852.e1;Exzision an Muskel
23380;5-852.e2;Exzision an Muskel
23381;5-852.e3;Exzision an Muskel
23382;5-852.e5;Exzision an Muskel
23383;5-852.e6;Exzision an Muskel
23384;5-852.e7;Exzision an Muskel
23385;5-852.e8;Exzision an Muskel
23386;5-852.e9;Exzision an Muskel
23387;5-852.ea;Exzision an Muskel
23388;5-852.ex;Exzision an Muskel
23389;5-852.f;Exzision an Muskel
23390;5-852.f0;Exzision an Muskel
23391;5-852.f1;Exzision an Muskel
23392;5-852.f2;Exzision an Muskel
23393;5-852.f3;Exzision an Muskel
23394;5-852.f5;Exzision an Muskel
23395;5-852.f6;Exzision an Muskel
23396;5-852.f7;Exzision an Muskel
23397;5-852.f8;Exzision an Muskel
23398;5-852.f9;Exzision an Muskel
23399;5-852.fa;Exzision an Muskel
23400;5-852.fx;Exzision an Muskel
23401;5-852.g;Exzision an Muskel
23402;5-852.g0;Exzision an Muskel
23403;5-852.g1;Exzision an Muskel
23404;5-852.g2;Exzision an Muskel
23405;5-852.g3;Exzision an Muskel
23406;5-852.g5;Exzision an Muskel
23407;5-852.g6;Exzision an Muskel
23408;5-852.g7;Exzision an Muskel
23409;5-852.g8;Exzision an Muskel
23410;5-852.g9;Exzision an Muskel
23411;5-852.ga;Exzision an Muskel
23412;5-852.gx;Exzision an Muskel
23413;5-852.h;Exzision an Muskel
23414;5-852.h0;Exzision an Muskel
23415;5-852.h1;Exzision an Muskel
23416;5-852.h2;Exzision an Muskel
23417;5-852.h3;Exzision an Muskel
23418;5-852.h5;Exzision an Muskel
23419;5-852.h6;Exzision an Muskel
23420;5-852.h7;Exzision an Muskel
23421;5-852.h8;Exzision an Muskel
23422;5-852.h9;Exzision an Muskel
23423;5-852.ha;Exzision an Muskel
23424;5-852.hx;Exzision an Muskel
23425;5-852.j;Exzision an Muskel
23426;5-852.j0;Exzision an Muskel
23427;5-852.j1;Exzision an Muskel
23428;5-852.j2;Exzision an Muskel
23429;5-852.j3;Exzision an Muskel
23430;5-852.j5;Exzision an Muskel
23431;5-852.j6;Exzision an Muskel
23432;5-852.j7;Exzision an Muskel
23433;5-852.j8;Exzision an Muskel
23434;5-852.j9;Exzision an Muskel
23435;5-852.ja;Exzision an Muskel
23436;5-852.jx;Exzision an Muskel
23437;5-852.x;Exzision an Muskel
23438;5-852.x0;Exzision an Muskel
23439;5-852.x1;Exzision an Muskel
23440;5-852.x2;Exzision an Muskel
23441;5-852.x3;Exzision an Muskel
23442;5-852.x5;Exzision an Muskel
23443;5-852.x6;Exzision an Muskel
23444;5-852.x7;Exzision an Muskel
23445;5-852.x8;Exzision an Muskel
23446;5-852.x9;Exzision an Muskel
23447;5-852.xa;Exzision an Muskel
23448;5-852.xx;Exzision an Muskel
23449;5-852.y;Exzision an Muskel
23450;5-853;Rekonstruktion von Muskeln
23451;5-853.0;Rekonstruktion von Muskeln: Refixation
23452;5-853.00;Rekonstruktion von Muskeln: Refixation: Kopf und Hals
23453;5-853.01;Rekonstruktion von Muskeln: Refixation: Schulter und Axilla
23454;5-853.02;Rekonstruktion von Muskeln: Refixation: Oberarm und Ellenbogen
23455;5-853.03;Rekonstruktion von Muskeln: Refixation: Unterarm
23456;5-853.05;Rekonstruktion von Muskeln: Refixation: Brustwand und Rücken
23457;5-853.06;Rekonstruktion von Muskeln: Refixation: Bauchregion
23458;5-853.07;Rekonstruktion von Muskeln: Refixation: Leisten- und Genitalregion und Gesäß
23459;5-853.08;Rekonstruktion von Muskeln: Refixation: Oberschenkel und Knie
23460;5-853.09;Rekonstruktion von Muskeln: Refixation: Unterschenkel
23461;5-853.0a;Rekonstruktion von Muskeln: Refixation: Fuß
23462;5-853.0x;Rekonstruktion von Muskeln: Refixation: Sonstige
23463;5-853.1;Rekonstruktion von Muskeln: Naht
23464;5-853.10;Rekonstruktion von Muskeln: Naht: Kopf und Hals
23465;5-853.11;Rekonstruktion von Muskeln: Naht: Schulter und Axilla
23466;5-853.12;Rekonstruktion von Muskeln: Naht: Oberarm und Ellenbogen
23467;5-853.13;Rekonstruktion von Muskeln: Naht: Unterarm
23468;5-853.15;Rekonstruktion von Muskeln: Naht: Brustwand und Rücken
23469;5-853.16;Rekonstruktion von Muskeln: Naht: Bauchregion
23470;5-853.17;Rekonstruktion von Muskeln: Naht: Leisten- und Genitalregion und Gesäß
23471;5-853.18;Rekonstruktion von Muskeln: Naht: Oberschenkel und Knie
23472;5-853.19;Rekonstruktion von Muskeln: Naht: Unterschenkel
23473;5-853.1a;Rekonstruktion von Muskeln: Naht: Fuß
23474;5-853.1x;Rekonstruktion von Muskeln: Naht: Sonstige
23475;5-853.2;Rekonstruktion von Muskeln: Verlängerung und Naht
23476;5-853.20;Rekonstruktion von Muskeln: Verlängerung und Naht: Kopf und Hals
23477;5-853.21;Rekonstruktion von Muskeln: Verlängerung und Naht: Schulter und Axilla
23478;5-853.22;Rekonstruktion von Muskeln: Verlängerung und Naht: Oberarm und Ellenbogen
23479;5-853.23;Rekonstruktion von Muskeln: Verlängerung und Naht: Unterarm
23480;5-853.25;Rekonstruktion von Muskeln: Verlängerung und Naht: Brustwand und Rücken
23481;5-853.26;Rekonstruktion von Muskeln: Verlängerung und Naht: Bauchregion
23482;5-853.27;Rekonstruktion von Muskeln: Verlängerung und Naht: Leisten- und Genitalregion und Gesäß
23483;5-853.28;Rekonstruktion von Muskeln: Verlängerung und Naht: Oberschenkel und Knie
23484;5-853.29;Rekonstruktion von Muskeln: Verlängerung und Naht: Unterschenkel
23485;5-853.2a;Rekonstruktion von Muskeln: Verlängerung und Naht: Fuß
23486;5-853.2x;Rekonstruktion von Muskeln: Verlängerung und Naht: Sonstige
23487;5-853.3;Rekonstruktion von Muskeln: Verkürzung und Naht
23488;5-853.30;Rekonstruktion von Muskeln: Verkürzung und Naht: Kopf und Hals
23489;5-853.31;Rekonstruktion von Muskeln: Verkürzung und Naht: Schulter und Axilla
